epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5259,2.43579,3.60604,2.2963,0.2656,0.08333,0.08906,0.01772,2.15118,3.81589,2.25302,0.00012,0.00012,0.00012
2,25.4985,1.85111,2.47465,1.87268,0.74931,0.85,0.81548,0.41567,1.48128,4.3929,1.45403,0.00025571,0.00025571,0.00025571
3,27.5199,1.62493,1.36942,1.50797,0.75031,0.85141,0.85377,0.42999,1.56304,2.0294,1.42615,0.0003868,0.0003868,0.0003868
4,30.1163,1.61811,1.16672,1.46472,0.4379,0.61667,0.52752,0.17273,2.32822,2.53491,2.02351,0.00051327,0.00051327,0.00051327
5,32.3093,1.6313,1.11948,1.48609,0.6608,0.7793,0.66398,0.30007,1.73716,1.67342,1.56639,0.00063512,0.00063512,0.00063512
6,34.2253,1.59063,1.01402,1.42965,0.42967,0.92919,0.43441,0.19886,1.75749,2.80784,1.60305,0.00075235,0.00075235,0.00075235
7,36.0941,1.66734,0.97127,1.45121,0.58091,0.88333,0.60646,0.25104,1.96418,1.7053,1.74793,0.00086496,0.00086496,0.00086496
8,37.8971,1.63895,0.96821,1.4137,0.80772,0.91667,0.95331,0.48727,1.59139,1.80813,1.48803,0.00097295,0.00097295,0.00097295
9,39.8765,1.56188,0.94783,1.38894,0.85388,0.88333,0.91785,0.41011,1.83344,1.5616,1.7852,0.00107632,0.00107632,0.00107632
10,42.1716,1.63877,0.97384,1.4664,0.74952,0.76667,0.75005,0.32317,2.01121,1.39116,1.89332,0.00117507,0.00117507,0.00117507
11,44.5079,1.62404,0.97262,1.37402,0.55084,0.5,0.48679,0.16353,2.44085,2.30792,2.63495,0.0012692,0.0012692,0.0012692
12,46.401,1.66372,0.96548,1.43528,0.11351,0.35,0.08405,0.03197,2.59981,5.60566,3.30511,0.00135871,0.00135871,0.00135871
13,48.2088,1.61863,0.95678,1.42892,0.47088,0.28333,0.26968,0.10779,2.65457,4.35262,2.98046,0.0014436,0.0014436,0.0014436
14,50.0369,1.62383,0.98786,1.41239,0.61502,0.66566,0.6326,0.23804,2.45816,1.62184,2.36689,0.00152387,0.00152387,0.00152387
15,51.877,1.55369,0.90681,1.32863,0.82272,0.76667,0.82608,0.33521,2.17418,1.96503,2.08906,0.001538,0.001538,0.001538
16,53.7668,1.50986,0.85561,1.32439,0.86139,0.88333,0.89838,0.44124,1.81989,2.56439,1.77861,0.001505,0.001505,0.001505
17,56.4989,1.57401,0.85856,1.327,0.82915,0.8089,0.86261,0.35705,2.0335,2.19671,1.97889,0.001472,0.001472,0.001472
18,58.3508,1.50325,0.81854,1.2981,0.72864,0.58333,0.64401,0.23191,2.257,2.0077,2.13901,0.001439,0.001439,0.001439
19,60.2222,1.54376,0.83089,1.35214,0.90939,0.81667,0.91113,0.46665,1.69474,1.2139,1.56495,0.001406,0.001406,0.001406
20,62.032,1.54018,0.82265,1.34966,0.86812,0.95,0.96867,0.4889,1.70459,1.0279,1.54691,0.001373,0.001373,0.001373
21,63.8887,1.46302,0.76901,1.29279,0.93157,0.90762,0.96445,0.42852,1.87379,1.27734,1.70314,0.00134,0.00134,0.00134
22,65.7137,1.54799,0.81542,1.34269,0.88725,0.91807,0.94537,0.45305,1.78993,0.87758,1.57158,0.001307,0.001307,0.001307
23,67.9949,1.50909,0.79626,1.3253,0.95089,0.88333,0.96755,0.52564,1.59621,0.74536,1.40191,0.001274,0.001274,0.001274
24,70.3803,1.51366,0.76961,1.32333,0.89841,0.88333,0.95944,0.516,1.59603,0.92205,1.40599,0.001241,0.001241,0.001241
25,72.2084,1.5017,0.78377,1.33431,0.92723,0.91667,0.96753,0.55034,1.50027,0.79204,1.31163,0.001208,0.001208,0.001208
26,74.0588,1.46738,0.75275,1.27117,0.90364,0.93784,0.97226,0.53183,1.59168,0.69681,1.39677,0.001175,0.001175,0.001175
27,75.9741,1.50766,0.7693,1.32268,0.91218,0.93333,0.96681,0.53037,1.60046,0.69966,1.40422,0.001142,0.001142,0.001142
28,77.7799,1.49064,0.73903,1.30086,0.90473,0.94962,0.97443,0.47166,1.7472,0.79238,1.55442,0.001109,0.001109,0.001109
29,79.5651,1.45756,0.75217,1.30161,0.90339,0.93515,0.97451,0.48345,1.73457,0.71631,1.50993,0.001076,0.001076,0.001076
30,82.3367,1.42127,0.74779,1.2624,0.89735,0.91667,0.9369,0.51744,1.65402,0.70325,1.42799,0.001043,0.001043,0.001043
31,84.2149,1.4688,0.72408,1.30297,0.88625,0.96667,0.97167,0.52374,1.62633,0.72434,1.41149,0.00101,0.00101,0.00101
32,86.0929,1.3896,0.70275,1.26948,0.94986,0.94717,0.97079,0.51442,1.63971,0.64897,1.39922,0.000977,0.000977,0.000977
33,87.8855,1.39122,0.68824,1.25226,0.94589,0.95,0.97761,0.53032,1.60996,0.62169,1.37814,0.000944,0.000944,0.000944
34,89.7153,1.40015,0.71485,1.26946,0.9479,0.90978,0.96743,0.49155,1.76618,0.68527,1.49306,0.000911,0.000911,0.000911
35,91.5527,1.36262,0.69693,1.23526,0.95003,0.91667,0.97509,0.56499,1.53586,0.59133,1.3087,0.000878,0.000878,0.000878
